timestamp,meter_id,location_id,energy_consumption_kWh,voltage_V,current_A,power_factor,frequency_Hz,temperature_C,humidity_percent,wind_speed_mps,solar_radiation_Wm2,distributed_generation_kW,battery_storage_level_%,grid_stability_index,outlier_flag,dwt_feature_1,dwt_feature_2,predicted_demand_kWh,resilience_score,high_demand_flag
2025-01-01 00:00:00,meter_0,rural,38.51,224.07,25.03,0.94,49.77,19.3,54.4,12.24,952.9,11.88,67.8,0.44,0,-1.6119,-1.2016,12.36,0.888,1
2025-01-01 01:00:00,meter_1,urban,4.82,224.93,0.3,0.88,50.21,28.7,96.5,12.04,405.4,16.02,28.6,0.888,0,1.6715,1.0015,23.6,0.231,0
2025-01-01 02:00:00,meter_2,rural,25.55,239.51,17.49,0.75,49.31,27.7,79.3,12.69,337.2,7.94,25.2,0.252,0,1.0838,-2.2988,10.4,0.085,1
2025-01-01 03:00:00,meter_3,rural,46.63,234.25,11.79,0.71,50.08,23.3,53.9,1.73,14.2,4.24,38.1,0.374,0,-0.0242,-1.1196,28.13,0.314,1
2025-01-01 04:00:00,meter_4,urban,16.37,238.77,44.96,0.81,49.51,11.2,40.4,14.54,153.4,18.22,50.1,0.846,0,-0.8417,0.6322,13.62,0.658,0
2025-01-01 05:00:00,meter_5,urban,29.9,236.74,61.26,0.86,50.47,13.3,59.4,14.39,421.1,18.66,95.1,0.618,0,-0.4906,-0.5026,2.32,0.369,1
2025-01-01 06:00:00,meter_6,rural,18.78,247.15,21.39,0.95,50.44,38.7,77.4,5.36,68.5,9.95,76.2,0.752,0,0.2291,-0.4063,40.86,0.549,0
2025-01-01 07:00:00,meter_7,suburban,22.99,219.41,93.91,0.74,49.77,0.1,80.6,0.99,510.7,0.13,42.9,0.214,0,-0.2516,0.1072,6.85,0.744,0
2025-01-01 08:00:00,meter_8,rural,27.66,233.8,0.77,0.94,51.02,7.1,39.2,2.51,455.0,2.2,5.4,0.716,0,-0.0145,1.422,18.72,0.408,1
2025-01-01 09:00:00,meter_9,rural,27.67,208.26,77.25,0.96,49.86,17.2,74.9,14.89,767.2,11.46,16.9,0.228,0,1.6101,-1.9218,24.12,1.0,1
